time,kb,zos,salinity,water_temp,wind_direction,wind_speed,peace_discharge,peace_TN,peace_TP,caloosa_discharge,caloosa_total_nitrogen,caloosa_total_phosphorus
1993-01-04,333.0,0.0129061814137438,33.04347826086956,26.8,36.0,13.9,202.0,8.2,1.999090909090909,251.25,1.051607142857143,0.07
1993-01-11,667.0,0.0156137131725367,33.06521739130435,27.0,118.0,16.2,423.0,10.1,1.9345454545454543,1528.6,0.7785714285714286,0.07
1993-01-18,667.0,0.0217016463586683,33.08695652173913,27.1,108.0,16.2,1470.0,12.0,1.87,3398.5714285714284,0.7929365079365079,0.0671428571428571
1993-01-25,0.0,0.0159503163580893,33.108695652173914,26.8,110.0,12.6,1450.0,10.0475,1.8705,2687.0,0.7983333333333332,0.058
1993-02-01,0.0,0.0089770399570727,33.130434782608695,26.5,14.0,17.5,1490.0,8.095,1.871,2979.1428571428573,0.765925925925926,0.0486666666666666
1993-02-08,0.0,-0.0008698577657819,33.15217391304348,26.1,81.0,15.7,1320.0,6.1425,1.8715,4075.714285714286,0.7335185185185185,0.0393333333333333
1993-02-15,0.0,-0.0135382668191117,33.17391304347826,26.2,106.0,14.4,766.0,4.19,1.872,2653.0,1.034685714285714,0.0322773109243697
1993-02-22,0.0,-0.0054645948749024,33.19565217391305,26.0,188.0,14.1,928.0,1.66,1.8106666666666669,1778.0,1.2715999999999998,0.0392647058823529
1993-03-01,0.0,-0.0227910594450313,33.21739130434783,25.9,32.0,14.3,1090.0,1.732,1.7493333333333334,3232.8571428571427,1.4032,0.0485294117647058
1993-03-08,0.0,-0.0384078843300671,33.23913043478261,26.3,292.0,18.1,1090.0,1.804,1.6880000000000002,491.4285714285714,1.5348,0.0577941176470588
1993-03-15,0.0,-0.0629333193101099,33.26086956521739,26.6,7.0,24.7,2560.0,1.876,1.6266666666666667,59.3,1.313,0.0670588235294117
1993-03-22,0.0,-0.0614170508445156,33.28260869565217,25.5,108.0,18.4,2550.0,1.948,1.5653333333333337,1930.0,0.7013650793650794,0.0763235294117647
1993-03-29,0.0,-0.0602473596799593,33.30434782608695,26.2,129.0,14.6,2000.0,2.02,1.504,3264.285714285714,0.5914814814814815,0.0855882352941176
1993-04-05,0.0,-0.037195043750242,33.32608695652174,26.4,81.0,17.6,3290.0,5.68,1.4426666666666668,3849.0,0.5629629629629629,0.0948529411764706
1993-04-12,0.0,-0.0082141677879926,33.34782608695652,26.3,128.0,15.3,3140.0,9.34,1.3813333333333335,2830.0,0.5344444444444445,0.1041176470588235
1993-04-19,0.0,-0.0126118152318484,33.369565217391305,26.5,40.0,14.3,2040.0,13.0,1.32,4164.285714285715,0.5093650793650794,0.1133823529411764
1993-04-26,0.0,-0.034968422598281,33.391304347826086,26.9,105.0,13.4,1800.0,9.3,1.44,2957.714285714286,0.5120238095238095,0.1142208622579466
1993-05-03,0.0,-0.0184528455402631,33.41304347826087,26.8,122.0,14.0,797.0,6.973333333333335,1.172,561.8571428571429,0.5495,0.0965217391304347
1993-05-10,0.0,-0.0268775046560194,33.43478260869565,27.3,72.0,9.8,495.0,4.646666666666667,0.904,11.071428571428571,0.588,0.0782608695652174
1993-05-17,0.0,-0.0318552232881581,33.45652173913044,27.2,98.0,8.5,309.0,2.32,0.636,10.142857142857142,0.7136842105263158,0.0621217391304347
1993-05-24,0.0,-0.022591745310041,33.47826086956522,26.9,88.0,11.6,186.0,2.103333333333333,0.7045,9.971428571428572,0.828421052631579,0.0590666666666666
1993-05-31,0.0,-0.0192854640727521,33.5,26.1,77.0,12.0,391.0,1.8866666666666665,0.773,723.5428571428572,0.916842105263158,0.0581333333333333
1993-06-07,0.0,-0.0194996922275431,33.52173913043478,28.7,81.0,7.6,453.0,1.67,0.8415,1590.0,0.8441618752764264,0.0572
1993-06-14,0.0,0.0074231355936082,33.54347826086956,29.1,84.0,9.2,318.0,1.41,0.91,1361.857142857143,0.7394117647058823,0.0562666666666666
1993-06-21,0.0,0.0168718322997243,33.56521739130435,28.8,97.0,10.7,177.0,7.9,3.37,10.885714285714286,0.6776470588235294,0.0553333333333333
1993-06-28,0.0,0.0031202837514805,33.58695652173913,29.7,120.0,7.9,782.0,8.566666666666666,3.883333333333333,741.9142857142857,0.6158823529411764,0.0543999999999999
1993-07-05,0.0,0.0064277662251941,33.608695652173914,31.3,97.0,7.0,757.0,9.233333333333334,4.3966666666666665,767.4285714285714,0.5541176470588235,0.0534666666666666
1993-07-12,0.0,0.0180523807723945,33.630434782608695,30.1,78.0,8.7,632.0,9.9,4.91,623.1428571428571,0.5367707082833133,0.0525333333333333
1993-07-19,0.0,0.0275535631114352,33.65217391304348,31.5,112.0,9.3,498.0,9.2,4.525,446.0,0.6171428571428571,0.0516
1993-07-26,0.0,0.0297882336740923,33.67391304347826,32.0,303.0,7.4,314.0,8.5,4.140000000000001,486.2142857142857,0.7004761904761905,0.0506666666666666
1993-08-02,0.0,0.0330139229303878,33.69565217391305,32.2,289.0,9.7,782.0,7.8,3.755,1986.0,0.7665410779696494,0.0693047619047619
1993-08-09,0.0,0.0426836328429424,33.71739130434783,31.3,113.0,8.7,723.0,7.1,3.37,829.9714285714286,0.7946153846153846,0.131
1993-08-16,0.0,0.0487085354162319,33.73913043478261,31.8,65.0,9.4,393.0,7.55,3.17,670.9428571428572,0.7328571428571429,0.194
1993-08-23,0.0,0.051440559692511,33.76086956521739,30.8,346.0,9.4,268.0,8.0,2.97,170.52857142857144,0.6375,0.21875
1993-08-30,0.0,0.0545289110676676,33.78260869565217,31.3,281.0,11.0,824.0,5.15,3.31,3162.8571428571427,0.655,0.1925
1993-09-06,0.0,0.0490316971403681,33.80434782608695,30.9,166.0,9.9,921.0,2.3,3.65,5531.428571428572,0.6725,0.16625
1993-09-13,0.0,0.0463384280582906,33.82608695652174,31.4,118.0,10.4,1450.0,7.7,3.99,7004.285714285715,0.8378571428571429,0.1408035714285714
1993-09-20,0.0,0.0681828060280956,33.84782608695652,29.8,96.0,12.6,1560.0,1.88,3.4800000000000004,3142.8571428571427,1.3225,0.1203125
1993-09-27,0.0,0.0777909916964889,33.869565217391305,30.2,65.0,9.2,1370.0,12.0,2.97,741.8571428571429,1.165,0.100625
1993-10-04,0.0,0.0832482679171424,33.891304347826086,29.0,52.0,12.3,797.0,12.333333333333334,2.96,1704.2857142857142,1.0075,0.0809375
1993-10-11,0.0,0.0787053516171892,33.91304347826087,29.5,344.0,15.2,466.0,12.666666666666666,2.95,3568.8571428571427,0.85,0.06125
1993-10-18,0.0,0.0780625694146785,33.93478260869565,29.0,160.0,13.5,1050.0,13.0,2.94,3737.142857142857,0.7428571428571429,0.0578260869565217
1993-10-25,0.0,0.0649838027292789,33.95652173913044,29.0,49.0,9.8,1020.0,10.22,2.546,2462.8571428571427,0.755,0.0760869565217391
